Date,Close,Open,High,Low,Vol.,Change %
"Feb 10, 2014",200.93,202.9,202.9,200.93,-,-0.93%
"Feb 11, 2014",200.63,200.39,200.92,200.39,-,-0.15%
"Feb 12, 2014",200.95,200.63,200.98,200.63,-,0.16%
"Feb 13, 2014",212.2,211.8,212.2,211.8,-,5.60%
"Feb 14, 2014",211.59,211.82,211.82,210.3,-,-0.29%
"Feb 17, 2014",210.36,211.62,211.62,210.33,-,-0.58%
"Feb 18, 2014",211.66,210.73,211.66,210.73,-,0.62%
"Feb 19, 2014",213.18,211.33,213.18,211.33,-,0.72%
"Feb 20, 2014",213.36,212.72,213.36,212.72,-,0.08%
"Feb 21, 2014",216.82,212.77,216.82,212.77,-,1.62%
"Feb 24, 2014",212.86,215.89,215.89,212.86,-,-1.83%
"Feb 25, 2014",217.04,212.86,217.04,212.86,-,1.96%
"Feb 26, 2014",214.25,218.83,218.83,214.22,-,-1.29%
"Feb 27, 2014",214.06,214.25,214.25,214.06,-,-0.09%
"Feb 28, 2014",217.07,217.07,217.07,217.07,-,1.41%
"Mar 03, 2014",216.88,216.88,216.88,216.88,-,-0.09%
"Mar 04, 2014",216.88,216.88,216.88,216.88,-,0.00%
"Mar 05, 2014",219.71,216.88,219.71,216.88,-,1.30%
"Mar 06, 2014",220.63,220.63,220.63,220.63,-,0.42%
"Mar 07, 2014",223.42,220.63,223.42,220.63,-,1.26%
"Mar 10, 2014",222.89,223.42,223.42,222.89,-,-0.24%
"Mar 11, 2014",222.52,223.08,223.08,222.52,-,-0.17%
"Mar 12, 2014",220.66,220.12,220.66,220.12,-,-0.84%
"Mar 13, 2014",220.72,221.19,221.19,220.72,-,0.03%
"Mar 14, 2014",220.72,220.34,220.72,219.93,-,0.00%
"Mar 17, 2014",217.42,217.9,217.9,217.42,-,-1.50%
"Mar 18, 2014",218.93,217.9,219.69,217.9,-,0.69%
"Mar 19, 2014",218.38,218.93,218.93,218.38,-,-0.25%
"Mar 20, 2014",218.71,218.38,218.71,218.38,-,0.15%
"Mar 21, 2014",218.92,217.05,223.23,217.05,-,0.10%
"Mar 24, 2014",219.1,218.73,219.1,218.73,-,0.08%
"Mar 25, 2014",218.9,220.03,220.03,218.9,-,-0.09%
"Mar 26, 2014",219.59,218.9,219.96,218.9,-,0.32%
"Mar 27, 2014",219.01,219.01,219.01,219.01,-,-0.26%
"Mar 28, 2014",218.76,219.56,220.16,218.76,-,-0.11%
"Mar 31, 2014",216.01,216.01,216.01,216.01,-,-1.26%
"Apr 01, 2014",220.85,220.85,220.85,220.85,-,2.24%
"Apr 02, 2014",221.45,219.99,221.45,219.99,-,0.27%
"Apr 03, 2014",221.45,221.45,221.45,221.45,-,0.00%
"Apr 04, 2014",221.32,219.06,221.32,219.06,-,-0.06%
"Apr 07, 2014",222.2,221.32,224.14,221.32,-,0.40%
"Apr 08, 2014",222.4,222.76,222.76,222.4,-,0.09%
