Date,Close,Open,High,Low,Vol.,Change %
"Feb 25, 2015",1028.57,1025.49,1035.04,1024.53,-,0.28%
"Feb 24, 2015",1025.65,1019.52,1027.3,1016.81,-,0.60%
"Feb 23, 2015",1019.52,1015.65,1026.06,1015.54,-,0.38%
"Feb 20, 2015",1015.65,1007.19,1015.73,1007.19,-,0.84%
"Feb 19, 2015",1007.19,1006.88,1007.58,1003.14,-,0.03%
"Feb 18, 2015",1006.88,1007.75,1018.93,1006.88,-,-0.09%
"Feb 17, 2015",1007.75,1018.4,1018.62,1007.55,-,-1.01%
"Feb 16, 2015",1018,1023.53,1027.31,1017.77,-,-0.52%
"Feb 13, 2015",1023.36,1010.7,1023.36,1010.7,-,1.30%
"Feb 12, 2015",1010.21,987.59,1012.08,987.59,-,2.30%
"Feb 11, 2015",987.53,991.06,992.18,985.15,-,-0.29%
"Feb 10, 2015",990.45,980.2,992.47,979.9,-,0.99%
"Feb 09, 2015",980.72,979.06,982.57,970.67,-,0.16%
"Feb 06, 2015",979.15,972.9,979.83,970.8,-,0.81%
"Feb 05, 2015",971.24,978.87,978.87,969.85,-,-0.92%
"Feb 04, 2015",980.24,975.73,982.36,975.05,-,0.47%
"Feb 03, 2015",975.7,958.06,975.7,956.38,-,1.84%
"Feb 02, 2015",958.04,955.9,959.53,952,-,0.24%
"Jan 30, 2015",955.78,955.99,958.76,953.2,-,0.14%
"Jan 29, 2015",954.43,956.23,959.53,944.67,-,-0.22%
"Jan 28, 2015",956.5,971.54,974.69,953.91,-,-1.48%
"Jan 27, 2015",970.83,973.36,974.7,967.86,-,-0.25%
"Jan 26, 2015",973.26,961.9,973.26,958.34,-,1.18%
"Jan 23, 2015",961.94,961.06,978.34,959.34,-,0.09%
"Jan 22, 2015",961.04,951.82,967.5,951.03,-,0.89%
"Jan 21, 2015",952.54,948.9,954.41,947.49,-,0.38%
"Jan 20, 2015",948.9,950.93,952,946.47,-,-0.20%
"Jan 19, 2015",950.83,949.05,952.84,944.51,-,0.19%
"Jan 16, 2015",949.05,945.41,950.79,943.54,-,0.37%
"Jan 15, 2015",945.52,958.8,963,936.51,-,-1.39%
"Jan 14, 2015",958.8,961.83,968.52,950.74,-,-0.46%
"Jan 13, 2015",963.21,946.54,963.21,941.7,-,1.77%
"Jan 12, 2015",946.46,946.12,951.18,943.78,-,0.01%
"Jan 09, 2015",946.36,946.17,953.17,946.17,-,-0.03%
"Jan 08, 2015",946.64,933.44,948.41,933.42,-,1.43%
"Jan 07, 2015",933.32,939.8,940.24,932.75,-,-0.69%
"Jan 06, 2015",939.83,942.6,943.62,934.26,-,-0.29%
"Jan 05, 2015",942.6,962.15,964.03,941.64,-,-2.03%
"Jan 02, 2015",962.13,946.02,963.16,946.02,-,1.63%
"Dec 30, 2014",946.71,946.14,950.86,944.36,-,0.05%
"Dec 29, 2014",946.27,951.62,954.44,944.24,-,-0.56%
"Dec 23, 2014",951.59,956.97,957.78,949.53,-,-0.56%
